iter,cycles
0,158000
1,1000
2,1000
3,1000
4,1000
5,0
6,1000
7,1000
8,1000
9,0
10,0
11,0
12,1000
13,1000
14,1000
15,0
16,0
17,1000
18,0
19,0
20,1000
21,1000
22,1000
23,1000
24,0
25,0
26,1000
27,1000
28,0
29,0
30,0
31,1000
32,1000
33,0
34,1000
35,0
36,1000
37,1000
38,0
39,1000
40,1000
41,1000
42,0
43,1000
44,1000
45,1000
46,1000
47,0
48,0
49,1000
50,1000
51,0
52,1000
53,0
54,0
55,1000
56,0
57,1000
58,0
59,0
60,1000
61,1000
62,0
63,0
64,1000
65,1000
66,0
67,0
68,1000
69,0
70,1000
71,1000
72,0
73,1000
74,0
75,1000
76,1000
77,1000
78,1000
79,1000
80,0
81,1000
82,1000
83,0
84,1000
85,1000
86,1000
87,1000
88,1000
89,1000
90,1000
91,1000
92,0
93,0
94,1000
95,0
96,0
97,0
98,0
99,1000
100,0
101,0
102,0
103,0
104,0
105,0
106,0
107,1000
108,1000
109,0
110,0
111,0
112,0
113,0
114,0
115,0
116,1000
117,0
118,1000
119,1000
120,0
121,1000
122,1000
123,0
124,1000
125,1000
126,1000
127,1000
128,1000
129,0
130,0
131,0
132,0
133,0
134,1000
135,1000
136,1000
137,0
138,0
139,1000
140,1000
141,0
142,0
143,0
144,1000
145,0
146,1000
147,0
148,0
149,0
150,0
151,1000
152,0
153,0
154,0
155,0
156,0
157,1000
158,0
159,0
160,0
161,0
162,0
163,1000
164,0
165,1000
166,1000
167,0
168,1000
169,1000
170,0
171,1000
172,1000
173,1000
174,0
175,1000
176,0
177,0
178,1000
179,0
180,1000
181,1000
182,0
183,0
184,0
185,1000
186,0
187,0
188,1000
189,0
190,0
191,1000
192,0
193,0
194,1000
195,1000
196,1000
197,0
198,0
199,0
200,0
201,0
202,0
203,0
204,1000
205,1000
206,0
207,0
208,0
209,1000
210,1000
211,0
212,0
213,1000
214,0
215,1000
216,1000
217,1000
218,0
219,0
220,0
221,1000
222,0
223,0
224,0
225,1000
226,0
227,0
228,1000
229,0
230,0
231,0
232,0
233,1000
234,0
235,0
236,0
237,0
238,0
239,0
240,1000
241,0
242,0
243,1000
244,1000
245,0
246,1000
247,1000
248,0
249,1000
250,0
251,0
252,0
253,1000
254,0
255,1000
256,1000
257,1000
258,1000
259,0
260,0
261,0
262,1000
263,0
264,0
265,1000
266,0
267,0
268,1000
269,1000
270,0
271,1000
